unix timestamp;doserate (uSv/h);lat;lng;wgs84_alt (m.);speed (m/s);cps;cp_2s;horizontal accuracy (radius of 68% confidence [m]);marker type (2-circle, 1-marker);SE (1 σ)[%]
1752939649;0.01853;45.330989838;37.265762329;3.799999952;1.171507835;1.77158;0.50000;2.1000;2;11.5
1752939650;0.01817;45.331016541;37.265766144;2.700000048;1.292982221;1.73744;2.50000;2.1000;2;11.5
1752939652;0.01817;45.331035614;37.265762329;2.799999952;1.291438103;1.73714;2.00000;2.1000;2;11.5
1752939656;0.01726;45.331062317;37.265720367;2.500000000;1.097902536;1.65000;2.00000;2.1000;2;11.5
1752939658;0.01708;45.331089020;37.265712738;2.299999952;1.079887271;1.63275;1.50000;2.0000;2;11.5
1752939660;0.01695;45.331119537;37.265697479;1.100000024;1.020179391;1.62049;2.50000;2.0000;2;11.5
1752939664;0.01771;45.331127167;37.265666962;0.200000003;0.878116131;1.69315;1.50000;1.8000;2;11.5
1752939684;0.01749;45.331150055;37.265617371;0.899999976;0.339716673;1.67200;3.00000;1.9000;2;11.5
1752939686;0.01706;45.331172943;37.265590668;0.800000012;0.598107219;1.63122;1.00000;2.0000;2;11.5
1752939688;0.01696;45.331192017;37.265548706;1.000000000;0.915690839;1.62119;2.50000;2.0000;2;11.5
1752939690;0.01794;45.331195831;37.265491486;1.399999976;1.280628920;1.71544;4.00000;2.0000;2;11.5
1752939692;0.01817;45.331207275;37.265449524;1.899999976;1.525121927;1.73684;1.50000;2.0000;2;11.5
1752939694;0.01866;45.331222534;37.265415192;2.599999905;1.534901619;1.78378;2.50000;2.0000;2;11.5
1752939698;0.01853;45.331237793;37.265377045;2.400000095;1.434530854;1.77189;2.00000;2.0000;2;11.5
1752939700;0.01794;45.331249237;37.265335083;2.500000000;1.348572254;1.71487;1.50000;2.1000;2;11.5
1752939702;0.01750;45.331256866;37.265300751;2.599999905;1.276511073;1.67307;1.00000;2.1000;2;11.5
1752939704;0.01730;45.331268311;37.265270233;2.799999952;1.300188303;1.65371;2.50000;2.1000;2;11.5
1752939706;0.01794;45.331264496;37.265232086;2.700000048;1.371734738;1.71487;2.50000;2.1000;2;11.5
1752939708;0.01794;45.331272125;37.265201569;3.000000000;1.362984419;1.71487;2.50000;2.1000;2;11.5
1752939710;0.01853;45.331287384;37.265155792;3.099999905;1.376881957;1.77189;2.50000;2.1000;2;11.5
1752939712;0.01829;45.331295013;37.265121460;3.400000095;1.346513391;1.74842;1.00000;2.2000;2;11.5
1752939714;0.02116;45.331298828;37.265094757;4.199999809;1.292467475;2.02274;2.50000;2.2000;2;11.5
1752939716;0.02038;45.331295013;37.265056610;5.099999905;1.321806669;1.94857;1.50000;2.2000;2;11.5
1752939718;0.01943;45.331298828;37.265010834;5.800000191;1.397470832;1.85778;1.00000;2.2000;2;11.5
1752939720;0.01853;45.331310272;37.264980316;6.400000095;1.308938622;1.77189;0.50000;2.2000;2;11.5
1752939722;0.01840;45.331317902;37.264949799;6.699999809;1.271878600;1.75970;2.50000;2.2000;2;11.5
1752939724;0.01794;45.331325531;37.264907837;6.800000191;1.312541723;1.71487;2.00000;2.3000;2;11.5
1752939726;0.01771;45.331325531;37.264873505;6.300000191;1.280628920;1.69342;2.00000;2.3000;2;11.5
1752939728;0.01829;45.331321716;37.264823914;5.599999905;1.303791404;1.74842;2.00000;2.2000;2;11.5
1752939730;0.01795;45.331329346;37.264789581;4.900000095;1.405191660;1.71600;2.00000;2.1000;2;11.5
1752939732;0.01749;45.331340790;37.264766693;5.500000000;1.367102265;1.67200;3.00000;2.0000;2;11.5
1752939734;0.01726;45.331352234;37.264736176;5.500000000;1.323865533;1.65000;1.00000;2.0000;2;11.5
1752939736;0.01675;45.331363678;37.264701843;5.800000191;1.332615852;1.60107;0.50000;2.0000;2;11.5
1752939738;0.01619;45.331371307;37.264663696;6.099999905;1.243568897;1.54767;0.50000;2.1000;2;11.5
1752939740;0.01582;45.331382751;37.264621735;6.099999905;1.266216636;1.51267;1.50000;2.1000;2;11.5
1752939742;0.01562;45.331382751;37.264587402;5.599999905;1.340851426;1.49311;1.50000;2.0000;2;11.5
1752939744;0.01544;45.331386566;37.264556885;5.400000095;1.314600587;1.47644;2.00000;2.0000;2;11.5
1752939746;0.01646;45.331390381;37.264530182;5.599999905;1.301217794;1.57386;2.50000;2.1000;2;11.5
1752939748;0.01644;45.331375122;37.264488220;5.300000191;1.326953888;1.57143;3.00000;2.0000;2;11.5
1752939750;0.01655;45.331375122;37.264450073;5.000000000;1.249230862;1.58190;2.50000;2.0000;2;11.5
1752939752;0.01637;45.331382751;37.264419556;5.599999905;1.195699692;1.56558;2.00000;2.0000;2;11.5
1752939754;0.01686;45.331401825;37.264408112;5.800000191;1.204450011;1.61154;2.50000;2.1000;2;11.5
1752939756;0.01675;45.331405640;37.264381409;6.400000095;1.156066060;1.60107;2.00000;2.1000;2;11.5
1752939758;0.01664;45.331420898;37.264366150;7.199999809;1.116432548;1.59059;1.00000;2.2000;2;11.5
1752939762;0.01697;45.331447601;37.264339447;7.800000191;1.068048596;1.62228;1.00000;2.2000;2;11.5
1752939766;0.01590;45.331481934;37.264331818;9.100000381;1.039738894;1.52000;1.00000;2.1000;2;11.5
1752939770;0.01608;45.331508636;37.264320374;9.100000381;0.846718073;1.53744;2.50000;2.3000;2;11.5
1752939786;0.01750;45.331531525;37.264282227;12.699999809;0.313465834;1.67334;3.50000;2.2000;2;11.5
1752939798;0.01587;45.331497192;37.264270782;13.399999619;0.464279443;1.51744;0.50000;2.1000;2;11.5
1752939802;0.01527;45.331481934;37.264232635;13.500000000;0.788039744;1.46029;1.50000;2.0000;2;11.5
1752939804;0.01579;45.331470490;37.264209747;14.300000191;0.932676673;1.51000;2.00000;1.9000;2;11.5
1752939808;0.01635;45.331462860;37.264163971;14.899999619;1.018635273;1.56339;2.00000;2.0000;2;11.5
1752939809;0.01644;45.331459045;37.264137268;14.600000381;1.069078088;1.57143;2.00000;2.0000;2;11.5
1752939813;0.01587;45.331443787;37.264091492;13.100000381;1.177684426;1.51744;1.50000;2.1000;2;11.5
1752939815;0.01572;45.331432343;37.264072418;12.800000191;1.228641987;1.50289;1.50000;2.2000;2;11.5
1752939819;0.01616;45.331413269;37.264015198;12.500000000;1.177169681;1.54512;4.00000;2.5000;2;11.5
1752939821;0.01624;45.331436157;37.264019012;9.399999619;1.169963598;1.55244;1.50000;2.3000;2;11.5
1752939823;0.01598;45.331413269;37.263996124;7.900000095;1.173051953;1.52744;2.50000;2.2000;2;11.5
1752939825;0.01608;45.331394196;37.263957977;7.300000191;1.133418322;1.53744;2.00000;2.2000;2;11.5
1752939827;0.01562;45.331386566;37.263923645;6.900000095;1.067019224;1.49311;0.50000;2.0000;2;11.5
1752939829;0.01582;45.331375122;37.263889313;6.500000000;1.031503320;1.51267;3.00000;2.0000;2;11.5
1752939831;0.01541;45.331375122;37.263854980;6.000000000;0.964589417;1.47304;1.50000;2.0000;2;11.5
1752939833;0.01504;45.331382751;37.263828278;5.199999809;0.934220850;1.43824;1.50000;2.0000;2;11.5
1752939835;0.01480;45.331386566;37.263801575;4.400000095;0.947603583;1.41541;0.50000;2.1000;2;11.5
1752939837;0.01404;45.331382751;37.263771057;4.300000191;0.980545819;1.34227;1.00000;2.2000;2;11.5
1752939841;0.01381;45.331375122;37.263717651;3.500000000;0.895101964;1.32000;2.50000;2.1000;2;11.5
1752939845;0.01453;45.331375122;37.263660431;2.200000048;0.816349447;1.38963;1.00000;2.0000;2;11.5
1752939847;0.01469;45.331375122;37.263626099;1.799999952;0.798848867;1.40426;2.00000;2.1000;2;11.5
1752939849;0.01453;45.331378937;37.263595581;1.500000000;0.867821693;1.38963;0.50000;2.1000;2;11.5
1752939851;0.01432;45.331390381;37.263568878;0.400000006;0.978486955;1.36903;1.00000;2.1000;2;11.5
1752939853;0.01385;45.331398010;37.263538361;-0.500000000;1.074740052;1.32431;1.00000;2.2000;2;11.5
1752939857;0.01418;45.331398010;37.263496399;-1.200000048;1.048489213;1.35592;2.00000;2.2000;2;11.5
1752939859;0.01409;45.331390381;37.263462067;-2.200000048;1.098417163;1.34694;1.00000;2.1000;2;11.5
1752939861;0.01413;45.331382751;37.263412476;-2.299999952;1.122094393;1.35107;1.50000;2.1000;2;11.5
1752939863;0.01453;45.331386566;37.263378143;-2.900000095;1.029444456;1.38963;2.00000;2.1000;2;11.5
1752939865;0.01467;45.331394196;37.263328552;-3.000000000;1.090696335;1.40250;2.00000;2.2000;2;11.5
1752939867;0.01480;45.331398010;37.263294220;-3.099999905;1.148345232;1.41503;3.50000;2.2000;2;11.5
1752939869;0.01453;45.331390381;37.263263702;-3.599999905;1.056724668;1.38963;1.00000;2.1000;2;11.5
